Palette audit — 151 PNGs, 1167 distinct opaque colours, 237 canonical.

  #7c6044  px=      6  files=  2  L=0.38
  #b08213  px=    276  files=  1  L=0.38
  #826841  px=     45  files=  3  L=0.38
  #826244  px=     11  files=  2  L=0.39
  #836344  px=      8  files=  2  L=0.39
  #816346  px=      7  files=  2  L=0.39
  #826649  px=      8  files=  2  L=0.40
  #886644  px=    376  files= 18  L=0.40
  #866747  px=     14  files=  3  L=0.40
  #896745  px=     70  files=  2  L=0.40
  #8a6845  px=     16  files=  4  L=0.41
  #84684b  px=      4  files=  2  L=0.41
  #8b6946  px=    176  files=  4  L=0.41
  #86694b  px=     14  files=  3  L=0.41
  #896949  px=     10  files=  3  L=0.41
  #8c6a47  px=     32  files=  4  L=0.41
  #8a6b4c  px=     58  files=  2  L=0.42
  #8a6d4e  px=     14  files=  3  L=0.42
  #906d4a  px=     32  files=  4  L=0.43
  #916e4b  px=    100  files=  2  L=0.43
  #8e6d4e  px=     12  files=  2  L=0.43
  #8d6e50  px=     14  files=  3  L=0.43
  #966b48  px=     69  files=  5  L=0.44
  #90704f  px=     11  files=  2  L=0.44
  #926f4d  px=      5  files=  2  L=0.44
  #91704f  px=      4  files=  2  L=0.44
  #e14400  px=    214  files=  3  L=0.44
  #907151  px=    114  files=  3  L=0.44
  #94714e  px=     32  files=  4  L=0.44
  #95724e  px=     32  files=  4  L=0.45
  #ad7037  px=     10  files=  2  L=0.45
  #96734f  px=     32  files=  4  L=0.45
  #937453  px=    118  files=  3  L=0.45
  #a36943  px=     69  files=  6  L=0.45
  #967450  px=      8  files=  2  L=0.45
  #987551  px=    162  files=  3  L=0.46
  #9c7854  px=     69  files=  2  L=0.47
  #cf5825  px=     31  files=  2  L=0.48
  #9c7a58  px=      6  files=  2  L=0.48
  #9f7a57  px=      6  files=  2  L=0.48
  #a27b55  px=    103  files=  2  L=0.48
  #9e7c5a  px=      5  files=  2  L=0.49
  #a17c58  px=     60  files=  2  L=0.49
  #ab7450  px=     16  files=  2  L=0.49
  #a27e59  px=      9  files=  2  L=0.49
  #a2895b  px=     88  files=  6  L=0.50
  #a37e5a  px=     32  files=  4  L=0.50
  #a78159  px=    122  files=  3  L=0.50
  #a8835e  px=    151  files=  4  L=0.51
  #a9845f  px=     32  files=  4  L=0.52
  #ac8761  px=     64  files=  4  L=0.53
  #b97d55  px=     42  files=  2  L=0.53
  #f4b41b  px=    404  files=  2  L=0.53
  #ad8862  px=    116  files=  3  L=0.53
  #ae8963  px=     32  files=  4  L=0.54
  #af8a63  px=    120  files=  4  L=0.54
  #b18861  px=    110  files=  2  L=0.54
  #b08a64  px=    125  files=  3  L=0.54
  #b48c63  px=    107  files=  2  L=0.55
  #bf7958  px=     87  files=  2  L=0.55
  #b48e68  px=     16  files=  4  L=0.56
  #ef692f  px=     20  files=  2  L=0.56
  #b69069  px=     80  files=  4  L=0.56
  #b7916a  px=    134  files= 13  L=0.57
  #d69366  px=     20  files=  2  L=0.62
  #ccbd99  px=     12  files=  2  L=0.70
  #d4c2b1  px=     82  files=  2  L=0.76
  #cfc6b8  px=    291  files=  3  L=0.77
  #d0c7b9  px=    376  files=  1  L=0.77
  #e0d1af  px=     36  files=  3  L=0.78
  #e8daba  px=      8  files=  2  L=0.82
  #e3dad1  px=    106  files=  2  L=0.85

== outline/black (4) ==
  #000000  px=  24184  files= 20  L=0.00
  #0d0e0f  px=     18  files=  2  L=0.05
  #111214  px=    287  files=  1  L=0.07
  #262626  px=     70  files=  2  L=0.15

== purple/pink (6) ==
  #3e2533  px=    505  files=  5  L=0.19
  #452939  px=    889  files=  5  L=0.22
  #620d47  px=    106  files=  2  L=0.22
  #882c98  px=    146  files=  2  L=0.38
  #bb0d6e  px=   1405  files=  1  L=0.39
  #af3fc3  px=     89  files=  2  L=0.51

== red (6) ==
  #a53030  px=    184  files= 25  L=0.42
  #c23714  px=     23  files=  2  L=0.42
  #ef3a0c  px=     12  files=  2  L=0.49
  #c83e3e  px=    656  files= 18  L=0.51
  #e7462a  px=    145  files=  3  L=0.54
  #e83b3b  px=     17  files=  2  L=0.57

== white (5) ==
  #d9d9d9  px=   1440  files=  1  L=0.85
  #e5e5e5  px=      8  files=  2  L=0.90
  #ecebeb  px=    265  files=  1  L=0.92
  #f4f4f4  px=     28  files=  2  L=0.96
  #ffffff  px=   2658  files=  2  L=1.00

== yellow (8) ==
  #4d4f2c  px=     73  files=  7  L=0.24
  #82810f  px=     16  files=  2  L=0.28
  #626439  px=    780  files= 12  L=0.31
  #8a8d49  px=    117  files=  6  L=0.42
  #c9c81b  px=    324  files=  6  L=0.45
  #d9d835  px=     60  files=  2  L=0.53
  #f1cc36  px=    137  files= 14  L=0.58
  #f8e394  px=    256  files=  1  L=0.78

== per-sprite stats (sorted by colour count) ==
  cols  WxH      opq%  semi%  file
   182  64x64     100%   0.0%  items/3d/scythe.png
   162  64x64     100%   0.0%  items/3d/lavaBoots.png
   144  64x64     100%   0.0%  items/3d/pickaxe.png
   143  64x64     100%   0.0%  items/3d/heart.png
   107  64x64     100%   0.0%  items/3d/bomb.png
    95  64x64     100%   0.0%  items/3d/axe.png
    92  64x64     100%   0.0%  items/3d/sword.png
    81  64x64     100%   0.0%  items/3d/lavaBoots_glow.png
    67  64x64     100%   0.0%  items/3d/wood.png
    43  32x144     77%   0.0%  environment/tilesets/dungeon.png
    41  32x48      29%   0.0%  characters/npcs/npcs.png
    41  64x64     100%   0.0%  items/3d/key.png
    37  48x176     43%   4.0%  environment/tilesets/forest_tile_set.png
    15  16x96      40%   0.0%  environment/props/wardrobes.png
    14  64x64     100%   0.0%  items/3d/coin.png
    13  48x48      78%   0.0%  environment/tilesets/desert_tileset.png
    12  100x50     31%   3.8%  environment/structures/Gate.png
    11  16x16      48%   0.0%  characters/npcs/salesman.png
     9  16x32      77%   0.0%  characters/npcs/watchman.png
     8  16x16      31%   0.0%  characters/npcs/npc.png
     8  16x16      31%   0.0%  characters/npcs/poet.png
     8  80x16      64%   0.0%  characters/player/hero.png
     8  16x48      12%   0.0%  environment/props/mushroom.png
     8  16x32      16%   0.0%  environment/props/mushroom__1.png
     8  16x32      31%   0.0%  items/collectibles/heart_bottle.png
     7  16x16      51%   0.0%  characters/enemies/mage/mage_hurt.png
     7  16x16      40%   0.0%  characters/enemies/mage/mage__1.png
     7  16x32      40%   0.0%  items/equipment/sword_on_fire.png
     7  600x162     7%   0.0%  misc/TA15la.png
     6  16x16      51%   0.0%  characters/enemies/mage/mage_magic.png
     6  16x16      36%   0.0%  characters/enemies/undead/arrow_undead.png
     6  16x16       9%   0.0%  environment/props/torch_0.png
     6  16x16       8%   0.0%  environment/props/torch_1.png
     6  16x16     100%   0.0%  environment/terrain/lava_floor.png
     6  32x48      83%   0.0%  environment/tilesets/snow_tileset.png
     5  16x16      24%   0.0%  characters/enemies/undead/undead_born2.png
     5  16x16      34%   0.0%  characters/enemies/undead/undead_born3.png
     5  16x16      36%   0.0%  characters/enemies/undead/undead_born4.png
     5  16x16      41%   0.0%  characters/enemies/undead/undead_born5.png
     5  16x16      42%   0.0%  characters/enemies/undead/undead_born6.png
     5  16x16      24%   0.0%  effects/fire/sprite_fire0.png
     5  16x16      26%   0.0%  effects/fire/sprite_fire1.png
     5  16x16      24%   0.0%  effects/fire/sprite_fire2.png
     5  16x16      16%   0.0%  environment/props/mushroom (1).png
     5  16x16      16%   0.0%  environment/props/mushroom_1.png
     5  16x16      16%   0.0%  environment/props/mushroom_2.png
     5  96x96      16%   0.0%  environment/props/mushroom__2.png
     5  16x32      30%   0.0%  items/equipment/sword.png
     5  16x16      28%   0.0%  ui/icons/lava_boots_icon.png
     5  16x16      20%   0.0%  ui/icons/pickaxe_icon.png
     5  16x16      20%   0.0%  ui/icons/pickaxe_icon__1.png
     5  16x16      29%   0.0%  ui/icons/sword_icon.png
     5  16x16      17%   0.0%  ui/icons/wood_on_fire_icon.png
     5  32x32      26%   0.0%  ui/states/death.png
     4  16x32      44%   0.0%  characters/enemies/slime/BigSlime.png
     4  16x32      14%   0.0%  characters/enemies/slime/Slime.png
     4  16x16      32%   0.0%  characters/enemies/spider/spider.png
     4  16x16      16%   0.0%  characters/enemies/undead/undead_born0.png
     4  16x16      20%   0.0%  characters/enemies/undead/undead_born1.png
     4  16x16      30%   0.0%  environment/props/cuting_grass0.png
     4  16x16      28%   0.0%  environment/props/cuting_grass1.png
     4  16x16      26%   0.0%  environment/props/cuting_grass2.png
     4  16x16      21%   0.0%  environment/props/cuting_grass3.png
     4  16x16      32%   0.0%  environment/props/cut_grass_wind0.png
     4  16x16      32%   0.0%  environment/props/cut_grass_wind1.png
     4  16x16     100%   0.0%  environment/props/grass_fre_0.png
     4  16x16     100%   0.0%  environment/props/grass_fre_1.png
     4  16x16     100%   0.0%  environment/props/grass_wind0.png
     4  16x16     100%   0.0%  environment/props/grass_wind1.png
     4  16x16      56%   0.0%  environment/props/vase_1.png
     4  16x16     100%   0.0%  environment/terrain/bridge.png
     4  16x32      29%   0.0%  items/collectibles/heart.png
     4  16x32      41%   0.0%  items/collectibles/heart_container.png
     4  16x32      37%   0.0%  items/collectibles/key.png
     4  16x32      14%   0.0%  items/equipment/bomb.png
     4  16x16      24%   0.0%  ui/icons/axe_icon.png
     4  16x16      18%   0.0%  ui/icons/scythe_icon.png
     3  16x16      33%   0.0%  characters/enemies/undead/undead.png
     3  80x16      64%   0.0%  characters/player/hero_hurt.png
     3  16x16      16%   0.0%  effects/fire/sprite_tiny_fire0.png
     3  16x16      16%   0.0%  effects/fire/sprite_tiny_fire0__1.png
     3  16x16      17%   0.0%  effects/fire/sprite_tiny_fire1.png
     3  16x16      17%   0.0%  effects/fire/sprite_tiny_fire1__1.png
     3  16x16      15%   0.0%  effects/fire/sprite_tiny_fire2.png
